time,open,high,low,close,volume,ticker
2019-06-04,21080,21180,20960,20980,537160,FPT
2019-06-05,21080,21280,21080,21130,500100,FPT
2019-06-06,21230,21670,21130,21570,922740,FPT
2019-06-07,21710,21930,21670,21910,1304680,FPT
2019-06-10,22050,22150,21710,21860,1227340,FPT
2019-06-11,21860,22110,21760,21910,1296500,FPT
2019-06-12,21910,22110,21810,21830,1284520,FPT
2019-06-13,21830,21860,21570,21590,856270,FPT
2019-06-14,21620,21760,21520,21520,559800,FPT
2019-06-17,21380,21570,21280,21350,1013550,FPT
2019-06-18,21510,21550,21200,21350,763680,FPT
2019-06-19,21640,21670,21430,21640,530820,FPT
2019-06-20,21740,22000,21640,22000,1356030,FPT
2019-06-21,22050,22110,21930,22000,872460,FPT
2019-06-24,22000,22030,21880,21880,726160,FPT
2019-06-25,21810,22560,21710,22540,3269450,FPT
2019-06-26,22540,22540,22350,22360,1014470,FPT
2019-06-27,22320,22350,21950,22000,1221860,FPT
2019-06-28,22000,22300,21760,22050,2479220,FPT
2019-07-01,22300,22830,22250,22830,2551280,FPT
2019-07-02,22780,23020,22610,22730,1600280,FPT
2019-07-03,22640,22730,22560,22680,1275860,FPT
2019-07-04,22780,22880,22680,22760,1275800,FPT
2019-07-05,22680,22780,22490,22590,1137770,FPT
2019-07-08,22540,22730,22320,22440,1303050,FPT
2019-07-09,22440,22710,22350,22660,992570,FPT
2019-07-10,22760,23000,22680,22800,1281980,FPT
2019-07-11,22850,22900,22680,22780,854140,FPT
2019-07-12,22830,23000,22680,22780,1241970,FPT
2019-07-15,22830,23040,22710,22930,1176060,FPT
2019-07-16,22960,23170,22900,22930,1160000,FPT
2019-07-17,22930,23020,22780,22800,1292630,FPT
2019-07-18,22780,22830,22680,22680,1035440,FPT
2019-07-19,22760,23410,22730,23370,2811560,FPT
2019-07-22,23370,23580,23240,23440,1755780,FPT
2019-07-23,23510,23650,23320,23650,948550,FPT
2019-07-24,23920,23940,23560,23560,1952770,FPT
2019-07-25,23560,23730,23510,23580,1157100,FPT
2019-07-26,23510,23650,23440,23650,1043020,FPT
2019-07-29,23650,23650,23370,23560,1130450,FPT
2019-07-30,23560,23560,23120,23170,2092220,FPT
2019-07-31,23170,23460,23020,23460,1111880,FPT
2019-08-01,23460,23560,23370,23440,965060,FPT
2019-08-02,23290,23740,23200,23650,1451900,FPT
2019-08-05,23740,24140,23650,23740,2322100,FPT
2019-08-06,23370,23890,23370,23730,1304570,FPT
2019-08-07,23370,24110,23730,24110,1246410,FPT
2019-08-08,24170,24520,24170,24380,2085510,FPT
2019-08-09,24380,24910,24240,24770,1751680,FPT
2019-08-12,24770,25500,24570,25340,1817920,FPT
2019-08-13,25250,25790,25070,25440,2237980,FPT
2019-08-14,25690,26030,25590,25790,2205370,FPT
2019-08-15,25640,26170,25380,26170,2223880,FPT
2019-08-16,26170,27220,25690,25690,4531020,FPT
2019-08-19,25690,26040,25280,25890,2849780,FPT
2019-08-20,25890,26670,25890,26670,2277750,FPT
2019-08-21,26720,26930,26380,26480,1808020,FPT
2019-08-22,26480,26830,26120,26170,1892640,FPT
2019-08-23,26220,26880,25990,26880,1868200,FPT
2019-08-26,26430,26780,26430,26530,1756160,FPT
2019-08-27,26670,26830,26080,26080,1566370,FPT
2019-08-28,26170,26280,25740,25740,1537860,FPT
2019-08-29,25790,26080,25640,26040,972940,FPT
2019-08-30,26170,26380,26120,26220,708360,FPT
2019-09-03,26170,26670,26170,26530,1360230,FPT
2019-09-04,26170,26780,26170,26280,1655300,FPT
2019-09-05,26380,26430,25990,25990,1243680,FPT
2019-09-06,26120,26280,25840,26120,1142710,FPT
2019-09-09,26170,26880,25940,26580,2507800,FPT
2019-09-10,26780,26880,26480,26670,1731610,FPT
2019-09-11,26670,26780,26380,26720,1179670,FPT
2019-09-12,26880,27910,26880,27910,3799910,FPT
2019-09-13,27910,28350,27800,28060,2123900,FPT
2019-09-16,28110,28640,28010,28510,1339560,FPT
2019-09-17,28300,28700,28200,28460,1194690,FPT
2019-09-18,28610,28610,27800,27860,2592910,FPT
2019-09-19,27960,28560,27770,28560,1432730,FPT
2019-09-20,28510,29040,28460,28750,1396120,FPT
2019-09-23,28640,28800,27910,27910,2313090,FPT
2019-09-24,27860,28160,27560,27770,2537600,FPT
2019-09-25,27800,28350,27720,28350,1442410,FPT
2019-09-26,28510,28640,28250,28510,992640,FPT
2019-09-27,28460,29040,28350,28890,2510520,FPT
2019-09-30,29300,29400,28510,28510,2199170,FPT
2019-10-01,28510,28890,28460,28890,1644130,FPT
2019-10-02,28890,28950,28250,28250,2439020,FPT
2019-10-03,27960,28350,27860,28250,2804850,FPT
2019-10-04,28410,28410,28010,28060,1271210,FPT
2019-10-07,28060,28250,27410,27410,2371810,FPT
2019-10-08,27410,27770,27270,27720,1337220,FPT
2019-10-09,27800,28160,27560,27860,937530,FPT
2019-10-10,27960,28160,27860,27860,808000,FPT
2019-10-11,28010,28110,27860,27910,794420,FPT
2019-10-14,28160,28750,28060,28510,2231030,FPT
2019-10-15,28560,28560,28350,28350,663910,FPT
2019-10-16,28560,28640,28350,28410,829050,FPT
2019-10-17,28350,28410,27960,28010,1621590,FPT
2019-10-18,28060,28460,27960,28200,1447340,FPT
2019-10-21,28350,28350,27800,27910,1260490,FPT
2019-10-22,27910,27960,27510,27800,1534380,FPT
2019-10-23,27670,28160,27670,27860,747810,FPT
2019-10-24,28060,28750,27860,28750,2233890,FPT
2019-10-25,28800,28890,28510,28640,1355310,FPT
2019-10-28,28640,29040,28560,28700,1494820,FPT
2019-10-29,28750,28800,28560,28610,953020,FPT
2019-10-30,28610,28700,28460,28560,1102070,FPT
2019-10-31,28640,29000,28560,28610,1263390,FPT
2019-11-01,28640,29000,28460,28890,1732950,FPT
2019-11-04,29000,29880,29000,29590,5811560,FPT
2019-11-05,29680,29680,29350,29540,1239520,FPT
2019-11-06,29540,29840,29400,29400,1551610,FPT
2019-11-07,29400,29590,29250,29400,1438030,FPT
2019-11-08,29540,29540,29250,29450,1219540,FPT
2019-11-11,29500,29930,29400,29630,2180490,FPT
2019-11-12,29630,30290,29630,30140,2842650,FPT
2019-11-13,30240,30290,29880,29880,1333940,FPT
2019-11-14,29880,30140,28410,28800,4799390,FPT
2019-11-15,28800,29040,28510,28950,2568040,FPT
2019-11-18,28850,29040,28200,28410,2794920,FPT
2019-11-19,28410,28800,28410,28800,1059770,FPT
2019-11-20,28750,28750,27960,28060,2291760,FPT
2019-11-21,28060,28200,27620,27670,3303950,FPT
2019-11-22,27800,28200,27410,27670,1625820,FPT
2019-11-25,27720,28160,27560,27960,1087990,FPT
2019-11-26,28160,28250,28060,28200,968690,FPT
2019-11-27,28250,28350,28110,28160,812280,FPT
2019-11-28,28110,28110,27560,27670,1370820,FPT
2019-11-29,27670,28060,27560,27860,739370,FPT
2019-12-02,27910,27910,26960,26960,1992380,FPT
2019-12-03,26780,27270,26330,26930,1619120,FPT
2019-12-04,26930,27410,26670,27370,932130,FPT
2019-12-05,27410,27560,27070,27120,1144000,FPT
2019-12-06,27170,27370,27010,27170,556160,FPT
2019-12-09,27270,27560,27170,27320,700960,FPT
2019-12-10,27320,27560,27070,27410,797100,FPT
2019-12-11,27410,27960,27270,27910,877960,FPT
2019-12-12,28060,28250,28010,28160,942410,FPT
2019-12-13,28250,28410,28110,28200,1681700,FPT
2019-12-16,28200,28200,27860,27910,968130,FPT
2019-12-17,27770,27860,27220,27370,2211360,FPT
2019-12-18,27370,27670,27170,27410,1022490,FPT
2019-12-19,27410,27770,27370,27560,817820,FPT
2019-12-20,27670,28010,27560,27910,777100,FPT
2019-12-23,28110,28160,27670,27720,766000,FPT
2019-12-24,27860,27910,27720,27860,692100,FPT
2019-12-25,27860,28610,27860,28410,1604350,FPT
2019-12-26,28560,28700,28350,28350,1124500,FPT
2019-12-27,28350,28560,28060,28460,1004860,FPT
2019-12-30,28560,29090,28460,28950,2881060,FPT
2019-12-31,28950,29000,28640,28800,689030,FPT
2020-01-02,28800,29140,28640,28950,896720,FPT
2020-01-03,29090,29190,28350,28460,2047880,FPT
2020-01-06,28200,28460,28060,28160,1091660,FPT
2020-01-07,28300,28700,28160,28700,837240,FPT
2020-01-08,28410,28510,28060,28060,1814290,FPT
2020-01-09,28300,28510,28200,28460,967050,FPT
2020-01-10,28410,28560,28200,28410,1018650,FPT
2020-01-13,28350,28460,28160,28200,786760,FPT
2020-01-14,28200,28350,28160,28160,721680,FPT
2020-01-15,28160,28200,28060,28160,940870,FPT
2020-01-16,28160,28750,28160,28640,1942970,FPT
2020-01-17,28640,28700,28160,28460,1388810,FPT
2020-01-20,28410,28640,28250,28350,1227100,FPT
2020-01-21,28560,28640,27410,27410,4351820,FPT
2020-01-22,27170,27910,27010,27910,3165650,FPT
2020-01-30,27320,27560,26630,27010,2638460,FPT
2020-01-31,26670,27120,25690,25690,4118150,FPT
2020-02-03,24490,25940,24210,25440,3602970,FPT
2020-02-04,25890,25890,25200,25590,1651440,FPT
2020-02-05,25840,26080,25690,25690,1648620,FPT
2020-02-06,25940,26480,25590,26480,1708550,FPT
2020-02-07,26170,26430,26080,26330,1218660,FPT
2020-02-10,25890,26170,25740,25990,738090,FPT
2020-02-11,26120,26530,26040,26480,1085380,FPT
2020-02-12,26580,27010,26530,26720,1104870,FPT
2020-02-13,26720,26930,26530,26830,1030570,FPT
2020-02-14,26720,26930,26670,26930,884240,FPT
2020-02-17,26960,26960,26670,26780,726390,FPT
2020-02-18,26880,27670,26830,27670,1760940,FPT
2020-02-19,27620,27770,27410,27510,681250,FPT
2020-02-20,27720,27860,27410,27560,780810,FPT
2020-02-21,27620,27620,27010,27010,1458040,FPT
2020-02-24,26220,26630,25940,25940,2261990,FPT
2020-02-25,25740,26670,25690,26670,1407720,FPT
2020-02-26,26380,27270,26170,27170,3221270,FPT
2020-02-27,27170,27910,26960,27670,2927040,FPT
2020-02-28,27170,27510,26960,27220,2132200,FPT
2020-03-02,27220,27770,27070,27510,1787060,FPT
2020-03-03,27770,28160,27510,27620,1193800,FPT
2020-03-04,27410,27410,27120,27410,1660790,FPT
2020-03-05,27410,27620,26960,26960,1296450,FPT
2020-03-06,26780,26830,26430,26670,1305030,FPT
2020-03-09,25280,25690,24850,24850,4735140,FPT
2020-03-10,25200,25690,24850,25540,2030340,FPT
2020-03-11,25690,25940,24450,25100,2753310,FPT
2020-03-12,24010,24360,23370,23750,3981670,FPT
2020-03-13,22370,24700,22330,23780,2919140,FPT
2020-03-16,23780,24540,23470,23510,1898960,FPT
2020-03-17,23210,23960,22970,23960,2474650,FPT
2020-03-18,24210,24260,23880,23910,1642800,FPT
2020-03-19,23510,23750,23510,23560,1296590,FPT
2020-03-20,23810,23830,23390,23560,1291360,FPT
2020-03-23,22770,23170,21930,21930,2826690,FPT
2020-03-24,22230,22230,21500,21980,2191500,FPT
2020-03-25,22720,22920,22300,22720,2131790,FPT
2020-03-26,22480,22660,21830,21830,2358310,FPT
2020-03-27,21930,21930,21190,21290,2633750,FPT
2020-03-30,20010,20300,19820,19960,2157690,FPT
2020-03-31,20500,20950,19820,20300,1663050,FPT
2020-04-01,20150,21340,20150,20900,1453030,FPT
2020-04-03,21240,22050,21090,22030,2072000,FPT
2020-04-06,22720,23470,22480,23470,2718990,FPT
2020-04-07,23470,23560,22970,23370,2463810,FPT
2020-04-08,22770,23240,22600,23140,1576670,FPT
2020-04-09,23210,23510,22970,23140,2142370,FPT
2020-04-10,23020,23210,22670,22920,1882020,FPT
2020-04-13,22920,23210,22770,22970,1255360,FPT
2020-04-14,23510,24450,23210,24450,4072050,FPT
2020-04-15,24950,25100,24620,24750,2205200,FPT
2020-04-16,24540,25100,24360,24850,1508480,FPT
2020-04-17,25280,25330,24800,25280,2631630,FPT
2020-04-20,25640,25690,25050,25330,2239780,FPT
2020-04-21,24950,25150,24160,24360,3737050,FPT
2020-04-22,24110,25280,24050,25240,2445860,FPT
2020-04-23,25740,25790,25200,25200,1363410,FPT
2020-04-24,25150,25280,24750,25200,1411380,FPT
2020-04-27,25440,25440,24950,25050,1419750,FPT
2020-04-28,25050,25100,24800,25050,974310,FPT
2020-04-29,25100,25380,24950,25100,1349230,FPT
2020-05-04,24800,25150,24590,24950,895530,FPT
2020-05-05,25100,25200,24900,25150,677990,FPT
2020-05-06,25200,26220,25200,26120,3470150,FPT
2020-05-07,26170,26430,25890,26430,2030720,FPT
2020-05-08,26480,27220,26480,26530,3585320,FPT
2020-05-11,26670,26880,26330,26670,2119430,FPT
2020-05-12,26670,26880,26480,26880,2828190,FPT
2020-05-13,27480,28660,27420,28550,6853810,FPT
2020-05-14,28320,28410,28060,28170,2597400,FPT
2020-05-15,27940,28290,27620,27770,2430890,FPT
2020-05-18,27480,27980,27420,27980,2000950,FPT
2020-05-19,28470,28760,28120,28500,2879030,FPT
2020-05-20,28350,28350,28090,28290,1245380,FPT
2020-05-21,28290,28530,28260,28530,2007060,FPT
2020-05-22,28350,28350,28030,28030,1731720,FPT
2020-05-25,28060,28120,27660,28030,2033000,FPT
2020-05-26,28060,28230,27980,28230,1615680,FPT
2020-05-27,28290,28590,27770,27770,2098580,FPT
2020-05-28,27880,28120,27770,27770,1194380,FPT
2020-05-29,27770,27820,27480,27740,1346170,FPT
2020-06-01,27770,27980,27770,27940,1298150,FPT
2020-06-02,27940,28060,27770,27770,1456730,FPT
2020-06-03,27770,28320,27720,28140,1893060,FPT
2020-06-04,28290,28290,28000,28000,1260060,FPT
2020-06-05,28000,28170,27860,28170,1236200,FPT
2020-06-08,28350,28920,28350,28550,4113250,FPT
2020-06-09,28700,28720,28290,28320,1491540,FPT
2020-06-10,28350,28350,28000,28230,1307540,FPT
2020-06-11,28230,28230,26620,26620,4278060,FPT
2020-06-12,26040,27190,26040,27190,3145450,FPT
2020-06-15,27770,27770,26560,26620,1207500,FPT
2020-06-16,26950,27070,26780,26950,1100730,FPT
2020-06-17,27010,27040,26760,26820,788630,FPT
2020-06-18,26780,27010,26700,26950,822980,FPT
2020-06-19,26950,27190,26950,27190,745470,FPT
2020-06-22,27190,27190,27100,27190,787180,FPT
2020-06-23,27160,28000,27040,27500,1693730,FPT
2020-06-24,27720,27740,27220,27310,607000,FPT
2020-06-25,26980,27250,26950,27070,730810,FPT
2020-06-26,27070,27280,27010,27100,602880,FPT
2020-06-29,26950,26950,26530,26650,1281220,FPT
2020-06-30,26700,26840,26260,26410,1594210,FPT
2020-07-01,26620,26780,26500,26720,866660,FPT
2020-07-02,26780,26780,26590,26700,539160,FPT
2020-07-03,26900,26900,26670,26760,529760,FPT
2020-07-06,26900,27160,26780,27070,1089910,FPT
2020-07-07,27190,27720,27190,27450,2739150,FPT
2020-07-08,27370,27720,27370,27600,1472610,FPT
2020-07-09,27720,28000,27660,27980,2298900,FPT
2020-07-10,27820,27920,27480,27660,1164310,FPT
2020-07-13,27770,28320,27620,28140,2662490,FPT
2020-07-14,27940,28260,27940,28090,1549540,FPT
2020-07-15,28170,28320,28000,28120,1516540,FPT
2020-07-16,28090,28200,28000,28120,1060530,FPT
2020-07-17,28060,28060,27820,27820,1313100,FPT
2020-07-20,27820,27880,27400,27420,2049680,FPT
2020-07-21,27480,27740,27340,27660,940230,FPT
2020-07-22,27770,27770,27370,27420,817890,FPT
2020-07-23,27420,27620,27250,27620,918630,FPT
2020-07-24,27420,27500,26260,26560,3170540,FPT
2020-07-27,26040,26560,25220,25270,3274350,FPT
2020-07-28,25680,26500,25540,26440,1953510,FPT
2020-07-29,25680,25980,25330,25780,1554200,FPT
2020-07-30,25810,26110,25810,26110,612240,FPT
2020-07-31,25450,26150,25450,25740,1106250,FPT
2020-08-03,25740,26560,25740,26560,1392200,FPT
2020-08-04,26900,27070,26720,26930,1051310,FPT
2020-08-05,26900,27280,26760,27190,1328520,FPT
2020-08-06,27190,27340,27010,27070,1153660,FPT
2020-08-07,27070,27660,27070,27250,1283690,FPT
2020-08-10,27400,27660,27250,27310,1160370,FPT
2020-08-11,27450,27450,27190,27190,1209690,FPT
2020-08-12,27250,27480,27130,27480,1233230,FPT
2020-08-13,27600,27740,27480,27740,1709100,FPT
2020-08-14,27820,27880,27450,27660,1633770,FPT
2020-08-17,27720,27780,27480,27780,1048820,FPT
2020-08-18,27780,27860,27660,27680,625200,FPT
2020-08-19,27720,27800,27560,27680,877190,FPT
2020-08-20,27720,28040,27680,27800,1824430,FPT
2020-08-21,27920,28070,27890,28010,1260210,FPT
2020-08-24,28340,28710,28280,28640,3540210,FPT
2020-08-25,28710,28920,28690,28860,3304670,FPT
2020-08-26,28830,28860,28480,28600,1328990,FPT
2020-08-27,28520,29600,28520,29460,3724990,FPT
2020-08-28,29660,30200,29500,29500,4009380,FPT
2020-08-31,29500,29720,29160,29260,1940640,FPT
2020-09-01,29260,29840,29160,29500,1757410,FPT
2020-09-03,29780,29840,29500,29780,2281510,FPT
2020-09-04,29260,29550,29260,29550,1538510,FPT
2020-09-07,29510,29550,28650,28650,2270970,FPT
2020-09-08,28810,29260,28650,29260,1628870,FPT
2020-09-09,28750,29260,28710,29070,1490820,FPT
2020-09-10,29260,29440,29010,29070,1005950,FPT
2020-09-11,28950,29070,28860,29040,872160,FPT
2020-09-14,29100,29260,29010,29130,1127400,FPT
2020-09-15,29260,29550,29130,29550,1906730,FPT
2020-09-16,29550,30020,29550,29840,1918130,FPT
2020-09-17,29720,29840,29500,29550,1563010,FPT
2020-09-18,29600,30360,29550,30260,3306720,FPT
2020-09-21,30320,30540,30260,30260,1530250,FPT
2020-09-22,30020,30320,29900,30320,1630570,FPT
2020-09-23,30320,30420,30020,30200,1797680,FPT
2020-09-24,29960,30140,29660,29840,1728380,FPT
2020-09-25,29960,30020,29550,30020,1205550,FPT
2020-09-28,30080,30320,29900,30200,1312300,FPT
2020-09-29,30360,30360,29660,29660,1900490,FPT
2020-09-30,29660,29780,29400,29550,2500310,FPT
2020-10-01,29660,30020,29660,30020,905510,FPT
2020-10-02,30020,30200,28950,29720,1947940,FPT
2020-10-05,29780,30020,29500,29840,1498360,FPT
2020-10-06,30020,30080,29720,29840,1520290,FPT
2020-10-07,29660,29960,29660,29780,1493710,FPT
2020-10-08,29840,30420,29720,30200,3062690,FPT
2020-10-09,30140,30260,30020,30020,1173500,FPT
2020-10-12,30080,30360,29900,30080,1550680,FPT
2020-10-13,30080,30140,29840,29960,1222200,FPT
2020-10-14,30020,30360,29780,30140,2409760,FPT
2020-10-15,30260,30360,29960,30260,1925370,FPT
2020-10-16,30260,31850,30080,31430,5769540,FPT
2020-10-19,31670,31790,31310,31490,2333670,FPT
2020-10-20,31370,31490,31030,31430,1886160,FPT
2020-10-21,31430,32200,31200,31200,3305010,FPT
2020-10-22,31200,31910,31080,31910,2346540,FPT
2020-10-23,32030,32200,31610,31850,2646310,FPT
2020-10-26,31850,32200,31200,31200,3852510,FPT
2020-10-27,31250,31430,30790,30790,3188810,FPT
2020-10-28,30730,30970,29960,29960,3596230,FPT
2020-10-29,29780,30320,29660,30080,2719690,FPT
2020-10-30,30360,30420,29840,30420,1469970,FPT
2020-11-02,30420,30540,30260,30540,866110,FPT
2020-11-03,30660,31250,30540,31200,2562890,FPT
2020-11-04,31310,31490,31030,31310,1369690,FPT
2020-11-05,31140,31550,30730,30730,1305860,FPT
2020-11-06,30970,31200,30790,30970,987260,FPT
2020-11-09,31200,31550,31140,31550,2011650,FPT
2020-11-10,31910,31910,31310,31310,1739340,FPT
2020-11-11,31550,31550,31140,31310,1668230,FPT
2020-11-12,31310,31610,31250,31610,1234540,FPT
2020-11-13,31790,31790,31610,31790,1318170,FPT
2020-11-16,31910,32140,31310,31490,3713690,FPT
2020-11-17,31670,31970,31310,31910,2515530,FPT
2020-11-18,32080,32080,31730,31910,1757160,FPT
2020-11-19,32080,33090,31910,32560,4980430,FPT
2020-11-20,32560,33030,32509,32619,1837360,FPT
2020-11-23,32619,33210,32259,33030,2824640,FPT
2020-11-24,33030,33380,32509,32860,3003940,FPT
2020-11-25,33260,33260,32619,32619,1835630,FPT
2020-11-26,32800,33090,32390,32920,1635130,FPT
2020-11-27,33030,33210,32860,33210,1986420,FPT
2020-11-30,33500,33500,32740,32740,2761700,FPT
2020-12-01,32509,32740,32390,32619,3427370,FPT
2020-12-02,32509,32920,32509,32860,2108200,FPT
2020-12-03,32800,32920,32560,32860,1627980,FPT
2020-12-04,32740,33030,32740,32920,1380920,FPT
2020-12-07,33030,33090,32800,32920,1455180,FPT
2020-12-08,32920,33440,32800,33210,2297110,FPT
2020-12-09,33260,34150,33210,33970,3001820,FPT
2020-12-10,33680,34090,33380,33380,2112490,FPT
2020-12-11,33440,33680,33260,33680,1750270,FPT
2020-12-14,33680,34280,33620,33790,1443760,FPT
2020-12-15,33970,34030,33440,33500,2666900,FPT
2020-12-16,33790,33970,33680,33740,1995530,FPT
2020-12-17,33620,33740,33090,33380,3594500,FPT
2020-12-18,33380,33740,33380,33620,1532820,FPT
2020-12-21,33850,34150,33740,33970,2307390,FPT
2020-12-22,33910,34580,33740,34340,2576390,FPT
2020-12-23,34460,34630,33790,33970,1391420,FPT
2020-12-24,33970,34150,33320,33680,2386210,FPT
2020-12-25,33680,34030,33440,34030,1625110,FPT
2020-12-28,34210,34630,33970,34210,2197090,FPT
2020-12-29,34210,34740,34030,34630,2172950,FPT
2020-12-30,34800,34800,34340,34340,1204180,FPT
2020-12-31,34340,34980,34280,34920,2036370,FPT
2021-01-04,35220,35560,35040,35560,2151300,FPT
2021-01-05,35450,37530,35340,37050,2332200,FPT
2021-01-06,37280,37590,36820,36880,1796000,FPT
2021-01-07,36990,37170,36570,36930,2150200,FPT
2021-01-08,37220,37640,36990,37410,2720400,FPT
2021-01-11,37760,38230,37410,38230,1972800,FPT
2021-01-12,38400,39000,37820,38880,2435200,FPT
2021-01-13,38930,39820,38930,39300,2612000,FPT
2021-01-14,39300,39600,38820,39230,1777500,FPT
2021-01-15,39600,39600,39230,39360,1540400,FPT
2021-01-18,39600,39600,39110,39170,1209000,FPT
2021-01-19,39000,39060,36450,36630,3505600,FPT
2021-01-20,37050,37640,35560,37410,3663800,FPT
2021-01-21,38110,38880,37410,38760,2313100,FPT
2021-01-22,38820,39880,38640,39540,2090300,FPT
2021-01-25,39480,40300,39110,39600,3111900,FPT
2021-01-26,39880,39880,38700,39000,2597500,FPT
2021-01-27,38820,39060,37170,37220,2226800,FPT
2021-01-28,35450,36820,34630,34630,5092400,FPT
2021-01-29,34860,37050,34860,37050,3211900,FPT
2021-02-01,38050,38640,36820,37530,2017400,FPT
2021-02-02,37280,39000,37220,39000,3264600,FPT
2021-02-03,39880,41710,39060,41360,4173500,FPT
2021-02-04,41470,43250,41470,42840,4398700,FPT
2021-02-05,43140,43370,42430,43080,2084900,FPT
2021-02-08,43080,43080,41130,42130,4035600,FPT
2021-02-09,42190,44080,41360,44080,4224300,FPT
2021-02-17,45080,46670,44860,46030,3139100,FPT
2021-02-18,46090,46270,45260,46210,2243100,FPT
2021-02-19,45680,46090,44910,45260,3722700,FPT
2021-02-22,45260,45790,44960,45380,2319300,FPT
2021-02-23,45080,45500,44080,44620,3369500,FPT
2021-02-24,44910,45200,44260,44560,2225200,FPT
2021-02-25,44960,45080,44030,45020,1927500,FPT
2021-02-26,44320,45140,44260,45020,1936000,FPT
2021-03-01,45380,46090,45380,46030,2078100,FPT
2021-03-02,46610,46610,45440,46030,1821700,FPT
2021-03-03,46090,46150,45740,45910,1599400,FPT
2021-03-04,45910,45970,44380,44860,2901500,FPT
2021-03-05,44620,44910,44030,44860,2507500,FPT
2021-03-08,44910,45200,44560,44800,1656600,FPT
2021-03-09,44320,44740,44030,44320,2182400,FPT
2021-03-10,44860,45790,44320,45080,2602400,FPT
2021-03-11,45200,45560,44960,45320,1477800,FPT
2021-03-12,45500,45560,45080,45200,2062800,FPT
2021-03-15,45260,45790,44960,45200,1760900,FPT
2021-03-16,45500,48160,45260,47860,5111000,FPT
2021-03-17,48160,48160,47270,47750,1603200,FPT
2021-03-18,47860,47860,47270,47860,1807500,FPT
2021-03-19,47270,47570,46920,47150,2247800,FPT
2021-03-22,46980,47040,46270,46500,2084800,FPT
2021-03-23,46390,47270,46270,46560,2201700,FPT
2021-03-24,46030,46610,45200,45500,2480100,FPT
2021-03-25,45790,45790,45200,45260,2305400,FPT
2021-03-26,45020,45380,44030,44960,2672600,FPT
2021-03-29,45200,46150,44960,45850,1997700,FPT
2021-03-30,46030,46090,45500,45560,1512500,FPT
2021-03-31,45560,46150,45260,45910,1373400,FPT
2021-04-01,46030,47100,46030,47100,2500900,FPT
2021-04-02,47510,47570,47150,47150,1950200,FPT
2021-04-05,47510,47570,46610,47040,1487000,FPT
2021-04-06,46730,47270,46730,46920,1505800,FPT
2021-04-07,46800,47100,46730,47040,1503800,FPT
2021-04-08,47400,47630,46980,47040,1609800,FPT
2021-04-09,47210,49050,47210,48510,3970400,FPT
2021-04-12,48680,48680,48160,48510,2022500,FPT
2021-04-13,48450,48570,47570,47690,2038100,FPT
2021-04-14,47270,47860,46980,47860,2530600,FPT
2021-04-15,47860,48100,47150,47270,2096200,FPT
2021-04-16,47150,47980,46560,47100,2194600,FPT
2021-04-19,47270,48160,46980,48160,2380800,FPT
2021-04-20,48330,50160,48220,48990,4742800,FPT
2021-04-22,48450,49580,47270,47270,2271200,FPT
2021-04-23,47270,49050,47100,49050,3166400,FPT
2021-04-26,48740,48920,47570,47860,2551300,FPT
2021-04-27,47510,48100,47340,47690,1287100,FPT
2021-04-28,47340,48040,47340,47750,1366700,FPT
2021-04-29,47750,48330,47750,47810,2095500,FPT
2021-05-04,47270,49340,47270,48990,2362100,FPT
2021-05-05,49940,49940,48860,48990,2321300,FPT
2021-05-06,49050,49340,48570,48860,1969000,FPT
2021-05-07,48860,49640,48620,49050,2705900,FPT
2021-05-10,49110,50820,49050,50710,4504300,FPT
2021-05-11,50820,51170,50340,50340,2078700,FPT
2021-05-12,50220,50460,49820,50460,1844500,FPT
2021-05-13,50220,50460,49640,49640,2558300,FPT
2021-05-14,49820,50930,49700,50100,1858700,FPT
2021-05-17,50710,51170,50340,50650,1744500,FPT
2021-05-18,51050,51640,50930,51410,2133500,FPT
2021-05-19,51700,53820,51290,53650,2876300,FPT
2021-05-20,53650,56430,53420,56430,3523900,FPT
2021-05-21,55730,57080,54960,55420,3222700,FPT
2021-05-24,55420,55480,54420,55240,2669500,FPT
2021-05-25,55240,56250,54840,55420,2156300,FPT
2021-05-26,55670,56430,55360,56310,1992800,FPT
2021-05-27,56310,56370,55240,55420,1745800,FPT
2021-05-28,55540,56130,55360,56010,1874300,FPT
2021-05-31,56430,57910,55960,57850,3237700,FPT
2021-06-01,60310,60730,59690,59770,3495000,FPT
2021-06-02,59770,60050,58330,58670,3053900,FPT
2021-06-03,58330,58600,57850,58470,3190800,FPT
2021-06-04,58330,58400,57510,58120,3820600,FPT
2021-06-07,58050,58120,55580,56750,3711200,FPT
2021-06-08,56270,56960,55310,55450,3486000,FPT
2021-06-09,55310,56340,54220,56050,3576100,FPT
2021-06-10,56050,56620,55580,56200,2214900,FPT
2021-06-11,55930,57570,55800,57300,2359600,FPT
2021-06-14,57300,58050,56960,57510,2547600,FPT
2021-06-15,57510,57990,57090,57090,1778700,FPT
2021-06-16,57090,58050,56750,57020,2462000,FPT
2021-06-17,56340,57020,56340,56680,2236400,FPT
2021-06-18,57020,57780,56750,57510,1681700,FPT
2021-06-21,57370,59220,57090,58740,3878300,FPT
2021-06-22,59080,59430,58600,58600,1760300,FPT
2021-06-23,58540,58740,57710,58260,1599900,FPT
2021-06-24,57850,58260,57570,58120,1657800,FPT
2021-06-25,58120,58600,57780,58470,1503400,FPT
2021-06-28,59080,59080,58600,58810,1858800,FPT
